INFO buildroot.py:317:  Mock Version: 1.3.5
DEBUG util.py:109:  ensuring that dir exists: /var/www/mock/lib/epel-6-x86_64/root/dev/pts
DEBUG util.py:112:  creating dir: /var/www/mock/lib/epel-6-x86_64/root/dev/pts
DEBUG util.py:109:  ensuring that dir exists: /var/www/mock/lib/epel-6-x86_64/root/dev/shm
DEBUG util.py:112:  creating dir: /var/www/mock/lib/epel-6-x86_64/root/dev/shm
DEBUG buildroot.py:448:  kernel version == 2.6.32-754.12.1.el6.x86_64
DEBUG util.py:122:  touching file: /var/www/mock/lib/epel-6-x86_64/root/etc/fstab
DEBUG util.py:122:  touching file: /var/www/mock/lib/epel-6-x86_64/root/etc/yum.conf
DEBUG util.py:122:  touching file: /var/www/mock/lib/epel-6-x86_64/root/etc/dnf.conf
DEBUG util.py:122:  touching file: /var/www/mock/lib/epel-6-x86_64/root/var/log/yum.log
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/mount', '-n', '-t', 'proc', 'proc', '/var/www/mock/lib/epel-6-x86_64/root/proc'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/mount', '-n', '-t', 'sysfs', 'sysfs', '/var/www/mock/lib/epel-6-x86_64/root/sys'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', 'tmpfs', '/var/www/mock/lib/epel-6-x86_64/root/dev/shm'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/mount', '-n', '-t', 'devpts', '-o', 'gid=5,mode=0620,ptmxmode=0666,newinstance', 'devpts', '/var/www/mock/lib/epel-6-x86_64/root/dev/pts'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/mount', '-n', '--bind', '/var/www/mock/cache/epel-6-x86_64/yum_cache/', '/var/www/mock/lib/epel-6-x86_64/root/var/cache/yum/'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/mount', '-n', '--bind', '/tmp/mock-selinux-plugin.R8jtf_', '/var/www/mock/lib/epel-6-x86_64/root/proc/filesystems'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG buildroot.py:136:  rootdir = /var/www/mock/lib/epel-6-x86_64/root
DEBUG buildroot.py:137:  resultdir = /home/nkadel/git/awsclirepo/python2-unittest2-srpm/epel-6-x86_64
DEBUG util.py:109:  ensuring that dir exists: /var/www/mock/lib/epel-6-x86_64/root/etc/pki/mock
DEBUG util.py:109:  ensuring that dir exists: /var/www/mock/lib/epel-6-x86_64/root/etc/yum/pluginconf.d
DEBUG package_manager.py:211:  configure yum
DEBUG package_manager.py:217:  configure yum priorities
DEBUG package_manager.py:219:  configure yum rhnplugin
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/usr/sbin/userdel', '-r', '-f', 'mockbuild'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PS1': '<mock-chroot> \\s-\\v\\$ '} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/usr/sbin/groupdel', 'mockbuild'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PS1': '<mock-chroot> \\s-\\v\\$ '} and shell False
DEBUG util.py:439:  groupdel: group 'mockbuild' does not exist
DEBUG util.py:577:  Child return code was: 6
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/usr/sbin/groupadd', '-g', '489', 'mockbuild'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PS1': '<mock-chroot> \\s-\\v\\$ '} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/usr/sbin/useradd', '-o', '-m', '-u', '1001', '-g', '489', '-d', '/builddir', '-n', 'mockbuild'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PS1': '<mock-chroot> \\s-\\v\\$ '} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:109:  ensuring that dir exists: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/RPMS
DEBUG util.py:112:  creating dir: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/RPMS
DEBUG util.py:109:  ensuring that dir exists: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/SPECS
DEBUG util.py:112:  creating dir: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/SPECS
DEBUG util.py:109:  ensuring that dir exists: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/SRPMS
DEBUG util.py:112:  creating dir: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/SRPMS
DEBUG util.py:109:  ensuring that dir exists: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/SOURCES
DEBUG util.py:112:  creating dir: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/SOURCES
DEBUG util.py:109:  ensuring that dir exists: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/BUILD
DEBUG util.py:112:  creating dir: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/BUILD
DEBUG util.py:109:  ensuring that dir exists: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/BUILDROOT
DEBUG util.py:112:  creating dir: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/BUILDROOT
DEBUG util.py:109:  ensuring that dir exists: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/originals
DEBUG util.py:112:  creating dir: /var/www/mock/lib/epel-6-x86_64/root/builddir/build/originals
DEBUG package_manager.py:104:  ['/usr/bin/yum', '--installroot', '/var/www/mock/lib/epel-6-x86_64/root/', '-y', '--releasever', '6', 'update']
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/usr/bin/yum', '--installroot', '/var/www/mock/lib/epel-6-x86_64/root/', '-y', '--releasever', '6', 'update', '--setopt=tsflags=nocontexts'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'LC_MESSAGES': 'C', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PS1': '<mock-chroot> \\s-\\v\\$ '} and shell False
DEBUG util.py:439:  Setting up Update Process
DEBUG util.py:439:  No Packages marked for Update
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:122:  touching file: /var/www/mock/lib/epel-6-x86_64/root/.initialized
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/rpm', '-Uvh', '--nodeps', '/builddir/build/originals/epel-6-x86_64.src.rpm'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PS1': '<mock-chroot> \\s-\\v\\$ '} and shell False
DEBUG util.py:439:  python2-unittest2           warning: user nkadel does not exist - using root
DEBUG util.py:439:  warning: group nkadel does not exist - using root
DEBUG util.py:439:  ##################################################
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/rpm', '-qpl', '/builddir/build/originals/epel-6-x86_64.src.rpm'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PS1': '<mock-chroot> \\s-\\v\\$ '} and shell False
DEBUG util.py:439:  python2-unittest2.spec
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG package_manager.py:104:  ['/usr/bin/yum-builddep', '--installroot', '/var/www/mock/lib/epel-6-x86_64/root/', '--releasever', '6', '/var/www/mock/lib/epel-6-x86_64/root//builddir/build/SRPMS/python2-unittest2-0.5.1-0.el6.src.rpm']
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/usr/bin/yum-builddep', '--installroot', '/var/www/mock/lib/epel-6-x86_64/root/', '--releasever', '6', '/var/www/mock/lib/epel-6-x86_64/root//builddir/build/SRPMS/python2-unittest2-0.5.1-0.el6.src.rpm', '--setopt=tsflags=nocontexts'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'LC_MESSAGES': 'C', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PS1': '<mock-chroot> \\s-\\v\\$ '} and shell False
DEBUG util.py:439:  Getting requirements for python2-unittest2-0.5.1-0.el6.src
DEBUG util.py:439:  No uninstalled build requires
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG backend.py:460:  Copying packages to result dir
DEBUG util.py:188:  kill orphans
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/umount', '-n', '/var/www/mock/lib/epel-6-x86_64/root/proc/filesystems'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/umount', '-n', '/var/www/mock/lib/epel-6-x86_64/root/var/cache/yum/'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/umount', '-n', '-l', '/var/www/mock/lib/epel-6-x86_64/root/dev/pts'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/umount', '-n', '-l', '/var/www/mock/lib/epel-6-x86_64/root/dev/shm'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
DEBUG util.py:522:  Executing command: ['/bin/umount', '-n', '-l', '/var/www/mock/lib/epel-6-x86_64/root/sys'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:577:  Child return code was: 0
DEBUG util.py:598:  child environment: None
